Time,Boat,Trip,Lat,Lng,Speed (M/S),Range (Meters),Heading,Boat Name,Community
2018-04-04 21:48:34,2788,,-3.40563,10.66026,0.02,,30.92,Pelagic 392865 1,
2018-04-04 21:54:18,2788,,-3.40565,10.66026,0,,0,Pelagic 392865 1,
2018-04-04 22:00:03,2788,,-3.40557,10.66027,0.02,,11.29,Pelagic 392865 1,
2018-04-04 22:02:32,2785,,-3.40529,10.66037,0,,270,Pelagic 397542,
2018-04-04 22:08:17,2785,,-3.40535,10.66043,0.03,,135.05,Pelagic 397542,
2018-04-04 22:11:32,2788,,-3.40565,10.66028,0.01,,141.39,Pelagic 392865 1,
2018-04-04 22:14:02,2785,,-3.40527,10.6604,0.01,,303.74,Pelagic 397542,
2018-04-04 22:17:20,2788,,-3.40558,10.66025,0.02,,336.84,Pelagic 392865 1,
2018-04-04 22:19:47,2785,,-3.40524,10.66038,0.01,,326.36,Pelagic 397542,
2018-04-04 22:23:05,2788,,-3.40563,10.6602,0.02,,258.67,Pelagic 392865 1,
2018-04-04 22:25:32,2785,,-3.40516,10.66034,0.03,,333.48,Pelagic 397542,
2018-04-04 22:29:44,2787,,-3.37941,10.66661,0,,3.46,Pelagic 402813 1,
2018-04-04 22:31:17,2785,,-3.40521,10.66035,0.01,,26.52,Pelagic 397542,
2018-04-04 22:32:37,2787,,-3.37961,10.66657,0.01,,90,Pelagic 402813 1,
2018-04-04 22:37:16,2787,,-3.3796,10.66657,0.03,,36.82,Pelagic 402813 1,
2018-04-04 22:39:36,2787,,-3.37966,10.66657,0.05,,270,Pelagic 402813 1,
2018-04-04 22:40:19,2788,,-3.40563,10.66021,0,,90,Pelagic 392865 1,
2018-04-04 22:41:58,2787,,-3.37959,10.66657,0.03,,0,Pelagic 402813 1,
2018-04-04 22:42:47,2785,,-3.40517,10.66033,0.01,,333.48,Pelagic 397542,
2018-04-04 22:44:16,2787,,-3.37959,10.66649,0.04,,270,Pelagic 402813 1,
2018-04-04 22:46:05,2788,,-3.4056,10.66022,0.01,,326.36,Pelagic 392865 1,
2018-04-04 22:46:36,2787,,-3.37957,10.66652,0.04,,0,Pelagic 402813 1,
2018-04-04 22:48:33,2785,,-3.4052,10.66045,0.04,,104.06,Pelagic 397542,
2018-04-04 22:50:06,2787,,-3.37963,10.66654,0.03,,161.59,Pelagic 402813 1,
2018-04-04 22:51:50,2788,,-3.40566,10.66019,0.02,,206.52,Pelagic 392865 1,
2018-04-04 22:53:40,2787,,-3.3796,10.66654,0.02,,0,Pelagic 402813 1,
2018-04-04 22:54:18,2785,,-3.40525,10.66032,0.03,,258.67,Pelagic 397542,
2018-04-04 22:55:58,2787,,-3.3796,10.66651,0.02,,270,Pelagic 402813 1,
2018-04-04 22:57:34,2788,,-3.40564,10.6602,0.01,,26.52,Pelagic 392865 1,
2018-04-04 22:58:16,2787,,-3.37957,10.66654,0.1,,0,Pelagic 402813 1,
2018-04-04 23:00:03,2785,,-3.40523,10.66032,0.01,,0,Pelagic 397542,
2018-04-04 23:01:46,2787,,-3.37964,10.66654,0.02,,270,Pelagic 402813 1,
2018-04-04 23:03:19,2788,,-3.40564,10.66017,0.01,,270,Pelagic 392865 1,
2018-04-04 23:04:06,2787,,-3.37963,10.66657,0.1,,149.08,Pelagic 402813 1,
2018-04-04 23:05:48,2785,,-3.40519,10.66038,0.02,,36.82,Pelagic 397542,
2018-04-04 23:07:47,2784,,-3.40567,10.66027,0,,53.08,Pelagic 407077,
2018-04-04 23:08:47,2787,,-3.37958,10.66654,0.02,,270,Pelagic 402813 1,
2018-04-04 23:09:04,2788,,-3.40565,10.66024,0.02,,98.14,Pelagic 392865 1,
2018-04-04 23:11:06,2787,,-3.37958,10.66658,0.03,,90,Pelagic 402813 1,
2018-04-04 23:13:32,2787,,-3.37961,10.66655,0.05,,270,Pelagic 402813 1,
2018-04-04 23:14:49,2788,,-3.4056,10.66019,0.02,,315.05,Pelagic 392865 1,
2018-04-04 23:16:58,2787,,-3.37961,10.66655,0.03,,0,Pelagic 402813 1,
2018-04-04 23:20:28,2787,,-3.37961,10.66658,0.02,,90,Pelagic 402813 1,
2018-04-04 23:20:34,2788,,-3.40561,10.66018,0.01,,296.61,Pelagic 392865 1,
2018-04-04 23:22:46,2787,,-3.37961,10.66655,0.07,,315.05,Pelagic 402813 1,
2018-04-04 23:25:06,2787,,-3.37961,10.66658,0.07,,270,Pelagic 402813 1,
2018-04-04 23:26:19,2788,,-3.40561,10.66025,0.02,,90,Pelagic 392865 1,
2018-04-04 23:29:46,2787,,-3.37964,10.66656,0.02,,146.36,Pelagic 402813 1,
2018-04-04 23:34:39,2785,,-3.40516,10.66039,0,,18.4,Pelagic 397542,
2018-04-04 23:35:37,2787,,-3.37961,10.66659,0.01,,90,Pelagic 402813 1,
2018-04-04 23:37:58,2787,,-3.37964,10.66654,0.1,,270,Pelagic 402813 1,
2018-04-04 23:38:08,2788,,-3.40562,10.66024,0,,224.95,Pelagic 392865 1,
2018-04-04 23:40:16,2787,,-3.37962,10.66652,0.02,,315.05,Pelagic 402813 1,
2018-04-04 23:43:33,2788,,-3.40561,10.66024,0,,0,Pelagic 392865 1,
2018-04-04 23:43:46,2787,,-3.37964,10.66655,0.02,,270,Pelagic 402813 1,
2018-04-04 23:46:04,2785,,-3.40528,10.66037,0.02,,189.45,Pelagic 397542,
2018-04-04 23:47:16,2787,,-3.37966,10.66654,0.04,,191.29,Pelagic 402813 1,
2018-04-04 23:49:24,2788,,-3.4056,10.66026,0,,315.05,Pelagic 392865 1,
2018-04-04 23:49:36,2787,,-3.37966,10.66657,0.02,,270,Pelagic 402813 1,
2018-04-04 23:51:52,2785,,-3.40516,10.66033,0.04,,341.6,Pelagic 397542,
2018-04-04 23:51:59,2787,,-3.3796,10.66657,0.05,,0,Pelagic 402813 1,
2018-04-04 23:54:16,2787,,-3.37954,10.66661,0.1,,0,Pelagic 402813 1,
2018-04-04 23:55:08,2788,,-3.40561,10.66023,0.02,,260.52,Pelagic 392865 1,
2018-04-04 23:56:36,2787,,-3.37962,10.66659,0.09,,90,Pelagic 402813 1,
2018-04-04 23:57:35,2785,,-3.40513,10.66047,0.04,,57.48,Pelagic 397542,
2018-04-05 00:00:06,2787,,-3.37964,10.66657,0.03,,123.74,Pelagic 402813 1,
2018-04-05 00:02:28,2787,,-3.37964,10.66652,0.04,,270,Pelagic 402813 1,
2018-04-05 00:03:20,2785,,-3.40513,10.66035,0.07,,344.08,Pelagic 397542,
2018-04-05 00:06:43,2788,,-3.40561,10.66027,0.01,,90,Pelagic 392865 1,
2018-04-05 00:07:06,2787,,-3.37964,10.66658,0.01,,90,Pelagic 402813 1,
2018-04-05 00:09:05,2785,,-3.40526,10.66042,0.03,,138.86,Pelagic 397542,
