Nom Pirogue	Immatriculation	Type de pirogue
Ogoula Et Fils	OW. 041/14	bois
Brigitte 2	OW. 042/07	bois
Patience 2	OW. 042/14	bois
Ayeto	OW. 043/08	bois
Major 4	OW. 044/13	bois
Angona 2	OW. 044/14	bois
Junior	OW. 045/07	bois
Emmanuel	OW. 047/05	bois
Mr Juwon	OW. 047/07	bois
La Source 2	OW. 047/11	bois
Segun	OW. 047/13	bois
Big Ben	OW. 048/14	bois
Francis	OW. 049/08	bois
Puissance de Dieu	OW. 049/13	bois
Issanga	OW. 050/17	bois
Melanie	OW. 051/11	bois
Zem	OW. 051/17	bois
Hilarion 2	OW. 052/17	bois
Surulere	OW. 053/08	bois
La Wano 3	OW. 053/13	bois
La Chance 4	OW. 053/17	bois
Taye	OW. 054/11	bois
Le Gros 	OW. 054/15	bois
La Chance 5	OW. 054/17	bois
Avole Nzame Gd Makok	OW. 055/11	bois
Marie 2	OW. 055/17	bois
Emma	OW. 056/13	bois
Obaguidjala	OW. 057/02	bois
L'Homme De Galilee	OW. 057/15	bois
Bekale 22	OW. 058/11	bois
Melina	OW. 058/15	bois
Faith 6	OW. 060/13	bois
Dieu Est Grand	OW. 060/17	bois
Ogologo Sira	OW. 061/07	bois
God Is With Me 4	OW. 062/11	bois
Lucky	OW. 062/13	bois
Precious	OW. 062/17	bois
Peter	OW. 063/17	bois
God Is All	OW. 065/07	bois
Eliane 3	OW. 066/15	bois
Adjoua	OW. 067/08	bois
Nicolas I	OW. 067/13	bois
Les Jumeaux	OW. 067/17	bois
Major 2	OW. 068/08	bois
Ojooluwa	OW. 068/13	bois
Mba Marguerite	OW. 069/08	bois
Mbilassoukou 2	OW. 070/11	bois
Emmanuel 4	OW. 073/07	bois
Sogapa 7	OW. 073/11	bois
Mahulolo	OW. 074/11	bois
Miracle	OW. 075/08	bois
Obota Mandji	OW. 076/15	bois
Bekale 8	OW. 077/08	bois
Oboube 	OW. 078/11	bois
Ipangue	OW. 078/15	bois
Adewale	OW. 079/13	bois
La Bonte De Dieu	OW. 082/07	bois
God Is My Witness 2	OW. 083/08	bois
Zimeneya 4	OW. 085/08	bois
Mv	OW. 085/11	bois
Black-Star	OW. 087/07	bois
Olola	OW. 088/11	bois
Rien N'Est Tard	OW. 090/11	bois
Grace A Dieu	OW. 090/15	bois
Tony	OW. 092/01	bois
Unissons-Nous	OW. 092/08	bois
Bekale 6	OW. 094/11	bois
Disco	L. 094/13	bois
Amhin Noud Dwagbe	OW. 096/11	bois
Apotre Jean	OW. 096/15	bois
Enos 2	OW. 099/08	bois
Tare 2	OW. 103/13	bois
Novi-O-Le	OW. 104/08	bois
Babatunde	OW. 105/12	bois
Mercy	OW. 106/15	bois
Alnour 2	OW. 108/13	bois
La Reussite 1	OW. 108/15	bois
Owo 2	OW. 109/12	bois
Chelcina	OW. 110/15	bois
Black Star	OW. 111/12	bois
Steve	OW. 112/01	bois
Indurance 1	OW. 113/09	bois
Gohu Debo 1	OW. 113/12	bois
Christ Et Bonheur	OW. 115/15	bois
Bekale 12	OW. 116/12	bois
Dieu Est Amour	OW. 117/12	bois
Foie	OW. 117/15	bois
Babatunde	OW. 121/01	bois
Smalt	OW. 121/12	bois
Mekonana 1	OW. 121/15	bois
Claude	OW. 122/01	bois
Sogapa 26	OW. 122/09	bois
Doffon Adoun Mandokin	OW. 125/09	bois
Blood Of Jesus	OW. 125/15	bois
John 1	OW. 126/12	bois
La Traversee	OW. 127/09	bois
Moise	OW. 128/12	bois
Souviens Toi De Moi	OW. 129/12	bois
Gomas Damas	OW. 132/12	bois
Libreville 1	OW. 135/12	bois
Faith 5	OW. 136/12	bois
Michel	OW. 139/09	bois
Ismael	OW. 141/12	bois
Evizo 	OW. 143/01	bois
Oguluwa Black	OW. 146/01	bois
Mimo	OW. 146/09	bois
Keyide	OW. 154/09	bois
Jean Pierre	OW. 155/12	bois
Fred	OW. 159/12	bois
Mbilassoukou 5	OW. 160/12	bois
Olivier 	OW. 164/12	bois
Force Divine 2	OW. 165/12	bois
Juliette	OW. 168/88	bois
God Is With Me 2	OW. 171/09	bois
Esperance	OW. 172/09	bois
Love	OW. 172/12	bois
Amehotode	OW. 175/12	bois
Fcb	OW. 176/12	bois
Manise	OW. 178/01	bois
"Dieu Est Amour Et Lumière, Gabon D'Abord"	OW. 178/09	bois
Oceane 1	OW. 179/12	bois
Seyifumi	OW. 181/09	bois
Papa 3	OW. 186/12	bois
Kiket 2	OW. 187/12	bois
Akpedje	OW. 188/12	bois
God Is With Me 3	OW. 196/09	bois
Mado	OW. 198/16	bois
Eliane 1	OW. 200/09	bois
Eniola	OW. 202/01	bois
Brice 1	OW. 202/09	bois
Qui Sait L'Avenir	OW. 202/12	bois
Jour De Joie	OW. 206/09	bois
Go Come	OW. 213/06	bois
La Vie Est Belle	OW. 219/09	bois
Dominique	OW. 220/06	bois
La Source 3	OW. 225/06	bois
Malenou Dagnon	OW. 227/09	bois
Sandra	OW. 237/12	bois
Body 1	OW. 245/10	bois
Rosana	OW. 246/10	bois
Body 2	OW. 247/10	bois
Sandra 2	OW. 250/10	bois
Gween	OW. 252/10	plastique
Niyi	OW. 260/06	bois
Aime	OW. 265/06	bois
Omogbemi	OW. 266/00	bois
Sainte Anne	OW. 268/10	bois
Emilolorun	OW. 272/06	bois
Toyota	OW. 295/99	bois
Petit Mauvais	OW. 296/06	bois
Dina	OW. 297/10	bois
Nicolas 2	OW. 299/10	bois
Marguerite 1	OW. 301/10	bois
Ronaldino-Gabon	OW. 307/06	plastique
Damilare	OW. 311/06	bois
Zimeneya 2	OW. 312/06	bois
Grace De Dieu	OW. 312/10	bois
La Source	OW. 313/10	bois
Brice 2	OW. 315/10	bois
Happy 2	OW. 315/12	bois
Au Nom De Dieu	OW. 317/10	bois
Sogapa 33	OW. 319/12	bois
Ndong 	OW. 320/10	bois
Ayila	OW. 320/12	bois
Ola Oluwa	OW. 321/06	bois
Let Them Say Godbless	OW. 323/10	bois
Americain 2	OW. 323/12	bois
Major 3	OW. 326/10	bois
L'eternel Est Mon Berger	OW. 326/12	bois
Ngadi 3	OW. 330/10	bois
Sogapa 17	OW. 334/10	bois
Alix	OW. 336/10	bois
Zimeneya 3	OW. 349/06	bois
Panthere	OW. 022/16	bois
Divine Favor	OW. 087/15	bois
La volonte de Dieu	OW. 056/17	bois
Mba Martine 5	OW. 083/15	bois
Boufas	OW. 013/07	bois
Oppe 1	OW. 039/13	bois
La Wano 5	OW. 094/15	bois
Sinai 1	OW. 127/12	bois
Malaxi	OW. 068/17	bois
Sinai 2	OW. 080/15	bois
Lumière Divine 1	OW. 058/17	bois
Lumière Divine 1	OW. 059/17	bois
Sonagnon	L. 259/04	bois
Merveille De Dieu	OW. 185/09	bois
Djissi	L. 002/12	bois
Muone	OW. 003/14	bois
Oveng Abe 2	OW. 074/15	bois
CAPAL 4	OW. 045/17	bois
Patience	OW. 116/15	bois
J. Marine	L. 051/01	bois
Mounguengui	L. 165/02	bois
Souvenir Gabon Telecom	L. 323/08	plastique
PNR	KG. 009/17	bois
NyIngone	OW. 288/10	bois
Nicolas 2	OW. 008/11	bois
Confidence	OW. 085/07	bois
Ngatsie	OW. 070/17	bois
Moussavou	OW. 057/17	bois
Kassa	OW. 075/13	bois
Kombila Kombila	OW. 061/17	bois
Hdi	OW. 211/12	bois
Les Jumelles	L. 066/05	bois
Bekale 14	OW. 131/12	bois
Bekale 4	L. 271/08	bois
Bekale 2	OW. 048/13	bois
Pelican d'Akanda	L. 169/98	plastique
Ndossi Boti	L. 034/16	plastique
Messi	L. 150/98	bois
Musiru	OW. 001/18	bois
Ntchango Mbia 3	L. 207/99	plastique
Essongue	KG. 007/17	bois
Les Merveilles	L. 166/02	bois
Ronaldo 2	OW. 171/01	bois
Sogapa 5	L. 264/99	bois
Sogapa 28	OW. 146/12	bois
Minko	OW. 286/10	bois
Senat 1	OW. 068/15	bois
La Wano 2	OW. 031/13	bois
Fougamou	OW. 084/01	bois
Saint Michel	OW. 040/11	bois
Senat 2	OW. 324/06	bois
Mbilassoukou 1	OW. 069/11	bois
Sainte Marie	L. 308/02	bois
Ronaldo 1	CC. 527/17	bois
La leconi 2	OW. 010/14	bois
Sogapa 20	OW. 043/13	bois
Avole Nzame Makok	OW. 003/18	bois
Pingouin 1	L. 003/15	bois
Croire A Dieu	OW. 242/10	bois
Air Gabon	OW. 323/06	bois
Ogolowa 2	CC. 132/05	bois
Pool	OW. 158/09	bois
Seeg	OW. 170/12	bois
Damilola	OW. 306/10	bois
Apina	OW. 223/09	bois
Lawano	OW. 071/17	bois
C'est Dieu qui Donne	L. 027/15	plastique
Ogooue Ivindo 2	L. 026/12	bois
Dege Messiah	OW. 081/15	bois
Pacha-Pacha	L. 207/07	bois
Woleu-Ntem	OW. 024/16	bois
Bidoungui 1	L. 019/15	plastique
Ibonga	L. 003/18	plastique
La Wano 4	OW. 013/14	bois
Pablo	AK. 007/17	bois
Grace	AK. 014/17	bois
Desole (okala)	AK. 026/17	bois
Alafia	AK. 002/17	bois
Richard	AK. 001/17	bois
Re-Ngondo 1	AK. 005/17	bois
L.N.A.	OW. 004/18	bois
Noe Ndolo	L. 038/11	bois
Le Ngoto	L. 001/18	bois
Le Kiembi	L. 002/18	bois
Lekoto 1	OW. 040/17	bois
Lekoto 2	OW. 046/17	bois
Sogapa 25	OW. 152/12	bois
Sogapa 29	OW. 258/10	bois
Pecherie Maman  P 	OW. 112/14	bois
Pecherie Maman  P2	OW. 035/14	bois
Pecherie Maman P3	L. 006/17	bois
Tresor 2	OW. 055/15	bois
Tresor 3	KG. 005/17	bois
Dipadja 2	OW. 089/13	bois
Oveng Abe 1	AK. 017/17	bois
Okemba	CC. 284/10	bois
Odjouba	L. 028/15	plastique
la plus belle	OW. 005/18	bois
Segue	CC. 402/13	bois
Alahuda	CC. 531/18	bois
OPT	L. 254/04	bois
Ayo	L. 359/99	bois
Capal 2	L. 027/13	bois
Doudou	L. 006/16	bois
Tama	L. 005/16	bois
Massela	L. 006/16	bois
Max	L. 300/08	plastique
Ntchango Mbia 5	L. 220/07	plastique
Grace	L. 015/15	bois
Capal 1	L. 023/16	bois
Capal 1	L. 027/13	bois
