old name,new name
Dasyatis marginata,RAI/Das.mag
Dasyatis marmorata,RAI/Das.mam
Dasyatis pastanica,RAI/Das.pas
Dasyatis pastinaca,RAI/Das.pas
Dasyatis patinaca,RAI/Das.pas
Dasyatis sp,RAI/Das
Dauphin,DEL/Del.del
Dauphin commun,DEL/Del.del
Dauphin sp,DEL/Del.del
Dauphins,DEL/Del.del
Dauphins communs,DEL/Del.del
Dauphins communs a long bec,DEL/Del.cap
Dauphins sp,DEL/Del.del
Delphinus capensis,DEL/Del.cap
Dermochelys coriacea,TOR/Der.cor
Eretmochelys imbricata,TOR/Ere.imb
Galeocerdo cuvier,CAC/Gal.cuv
Ginglymostoma cirratum,REG/Gin.cir
Gymnura micrur,RAI/Gym.mic
Gymnura micrura,RAI/Gym.mic
Gymnura sp,RAI/Gym
Gymnuridae,RAI/Gym
Lepidochelys olivacea,TOR/Lep.oli
Leptocharias smithii,LEP/Lep.smi
Manta birostris,RAI/Man.bir
Megaptera novaeangliae,Baleine/Meg.nov
Mobulidae,RAI
Mobula coilloti,RAI/Mob.coi
Mobula rochebrunei,RAI/Mob.roc
Mobula sp,RAI/Mob
Mola mola,MOL/Mol.mol
Mustelus mestelus,TRI/Mus.mus
Mustelus Mustelus,TRI/Mus.mus
Oxynotidae,REQ/Oxy
Oxynotus centrina,REQ/Oxy.cen
Paragaleus pectroralis,HEM/Par.pec
Paragaleus pectoralis,HEM/Par.pec
Paragalleus pectoralis,HEM/Par.pec
Paragleus pectoralis,HEM/Par.pec
Pteromylaeus bovinus,RAI/Pte.bov
Raja miraletus,RAI/Raj.mir
Raja sp,RAI/Raj
Raja straeleni,RAI/Raj.str
Raja straelini,RAI/Raj.str
Rhinbatidae,RAI/Rhi
Rhinobatidae,RAI/Rhi
Rhinobatos albomaculatus,RAI/Rhi.alb
Rhinobatos cemiculus,RAI/Rhi.cem
Rhinobatos irvinei,RAI/Rhi.irv
Rhinobatos rhinobatos,RAI/Rhi
Rhinobatos sp,RAI/Rhi
Rhinoptera marginata,RAI/Rhi.mar
Rhizoprionodon acutus,CAC/Rhi.acu
Scyliorhinus cervigoni,REQ/Scy.cer
Scyliorhinus stellaris,REQ/Scy.ste
Sphyraenidae,SPN
Sphyrinidae,SPN
Sphyrna lewini,SPN/Sph.lew
Sphyrna sp,SPN
Sphyrnidae,SPN
Squalidae,SQL
Squalus blainvillei,SQL/Squ.bla
Squatina oculata,SQT/Squ.ocu
Squatina oculata,SQT/Squ.acu
Squatinidae,SQT
Taenuira grabat,RAI/Tae.gra
Taeniura grabata,RAI/Tae.gra
Tortue sp,TOR
Zanobatus schoenleinii,RAI/Zan.sch
