Nom ,Family,Genus,Species,FAO,Obs code,Category,IUCN status
Emissole lisse,TRIAKIDAE,Mustelus,mustelus,SMD,TRI/Mus.mus,,
Sabre indéterminé,TRICHIURIDAE,spp,,CUT,TRC,,
Ceinture,TRICHIURIDAE,Trichiurus,lepturus,LHT,TRC/Trc.lep,,
Sabre fleuret,TRICHIURIDAE,Benthodesmus,tenuis,,TRC/Ben.ten,,
Grondin du Cap,TRIGLIDAE,Chelidonichthys,capensis,GUC,TRG/Che.cap,,
Grondin du Gabon,TRIGLIDAE,Chelidonichthys,gabonensis,CGY,TRG/Che.gab,,
Grondin camard,TRIGLIDAE,Chelidonichthys,lastoviza,CTZ,TRG/Che.las,,
Grondin indéterminé,TRIGLIDAE,spp,,GUX,TRG,,
Grondin lyre,TRIGLIDAE,Trigla,lyra,GUN,TRG/Trg.lyr,,
Uranoscope a points blancs,URANOSCOPIDAE,Uranoscopus,polli,,URA/Ura.pol,,
Uranoscope indéterminé,URANOSCOPIDAE,spp,,URA,URA,,
Volute trompe de cochon,VOLUTIDAE,Cymbium,cymbium,YBC,,,
Espadon,XIPHIIDAE,Xiphias,gladius,SWO,XIP/Xip.gla,,
Saint Pierre indéterminé,ZEIDAE,spp,,ZEX,ZEI,,
Saint Pierre argenté,ZEIDAE,Zenopsis,conchifer,JOS,ZEI/Zen.con,,
Saint Pierre,ZEIDAE,Zeus,faber,JOD,ZEI/Zen.fab,,
Baleine,Balaenopteridae,spp,,,Baleine,,
Baleine a bosse ,Balaenopteridae,Megaptera  ,novaeangliae,HUW,Baleine/Meg.nov,,
Pastenague violette ,Dasyatidae,Pteroplatytrygon ,violacea,,RAI/Pte.vio,,
Natice indéterminé,GASTROPODA,Natica,spp,ESC,ESC,,
Anguilles spaghetti,Moringuidae ,Moringua ,edwardsi,AMM,MOR,,
Paromola,Homolidae ,Paromola,cuvieri,OLV,HOM/Par.cuv,,
Dauphin commun,DELPHINIDAE,Delphinus,delphis,DCO,DEL/Del.del,,
Dauphin commun a bec large,DELPHINIDAE,Delphinus,capensis,DCZ,DEL/Del.cap,,
Poisson melange ,_AUTRE,,Poisson generic,PPP,P,crevette,
Nouveau Poisson,_AUTRE,,Nouveau poisson,,POI,,
Boue,_AUTRE,,Boue,,XBOU,,
Bois,_AUTRE,,Bois,,XBOI,,
Cailloux,_AUTRE,,Cailloux,,XCAI,,
Déchets,_AUTRE,,Dechets,,XDEC,,
