0,Americaine
1,Beninoise
2,Burkinabe
3,Camerounaise
4,Cap Verdienne
5,Equato-Guineenne
6,Francaise
7,Gabonaise
8,Ghaneenne
9,Nigeriane
10,Sao-Tomeenne
11,Togolaise
12,Senegalaise
13,Congolaise
14,Nigerienne
15,Peruvienne
16,Malienne
17,Ivorienne
